"cell_type_refined","n_cells","median_pseudotime","mean_pseudotime"
"Stromal progenitor-like cells",19,4.64660663510271,4.51135693171413
"Mature tenocytes",1334,4.85935211544578,4.88263239590773
"Fibrochondrocyte-like tenocytes",2481,9.46375490249093,9.35163764671798
"Signaling stromal cells",2,10.0967843643883,10.0967843643883
"ECM-remodelling tenocytes",1127,12.2801611114625,12.1404025719259
"Activated tenocytes",2,12.8906765991699,12.8906765991699
"Repair fibroblasts",3181,18.8570160383169,18.8420792340521
"Repair-activated stromal cells",2123,22.4978875902843,22.5434644348717
"Proliferating mesenchymal cells",790,26.2596822419571,26.1878198498438
